"6 Digit County District Number","District Name","District 2025 Class Size: Sec Soc Stud- Avg Size","District 2025 Class Size: Sec Sci     - Avg Size","District 2025 Class Size: Sec Math    - Avg Size","District 2025 Class Size: Kindergarten- Avg Size","District 2025 Class Size: Grade 6     - Avg Size","District 2025 Class Size: Grade 5     - Avg Size","District 2025 Class Size: Grade 4     - Avg Size","District 2025 Class Size: Grade 3     - Avg Size","District 2025 Class Size: Grade 2     - Avg Size","District 2025 Class Size: Grade 1     - Avg Size","District 2025 Class Size: Sec For Lng - Avg Size","District 2025 Class Size: Sec English - Avg Size","District 2025 Student Membership: All Students Count","District 2025 Student Membership: Special Ed Count","District 2025 Student Membership: Bilingual/ESL Count","District 2025 Student Membership: Gifted & Talented Count","District 2025 Student Membership: EB/EL Count","District 2025 Student Membership: Econ Disadv Count","District 2025 Student Membership: Non-Educationally Disadv Count","District 2025 Student Membership: At Risk Count","District 2025 Student Membership: American Indian Count","District 2025 Student Membership: Asian Count","District 2025 Student Membership: Pacific Islander Count","District 2025 Student Membership: Two or More Races Count","District 2025 Student Membership: African American Count","District 2025 Student Membership: Hispanic Count","District 2025 Student Membership: White Count","District 2025 Student Membership: Dyslexia Count","District 2025 Student Membership: Section 504 Count","District 2025 Student Membership: Title I Count","District 2025 Student Membership: Homeless Count","District 2025 Student Membership: Immigrant Count","District 2025 Student Membership: Migrant Count","District 2025 Student Membership: Military-Connected Count","District 2025 Student Membership: Foster Care Count","District 2024 DAEP: Count","District 2024 DAEP: Percent","District 2025 Student Membership: 2023-24 Attrition All Students Count","District 2025 Student Membership: 2023-24 Attrition All Students Percent","District 2025 Student Membership: Total Students with Disabilities Count","District 2025 Student Membership: Intellectual Disabilities Count","District 2025 Student Membership: Physical Disabilities Count","District 2025 Student Membership: Behavioral Disabilities Count","District 2025 Student Membership: Autism Count","District 2025 Student Membership: Non-Categorical Early Childhood Count","District 2025 Student Membership: Intellectual Disabilities Percent","District 2025 Student Membership: Physical Disabilities Percent","District 2025 Student Membership: Behavioral Disabilities Percent","District 2025 Student Membership: Autism Percent","District 2025 Student Membership: Non-Categorical Early Childhood Percent","District 2025 Student Membership: White Percent","District 2025 Student Membership: African American Percent","District 2025 Student Membership: Hispanic Percent","District 2025 Student Membership: American Indian Percent","District 2025 Student Membership: Asian Percent","District 2025 Student Membership: Pacific Islander Percent","District 2025 Student Membership: Two or More Races Percent","District 2025 Student Membership: Econ Disadv Percent","District 2025 Student Membership: Non-Educationally Disadv Percent","District 2025 Student Membership: At Risk Percent","District 2025 Student Membership: EB/EL Percent","District 2025 Student Membership: Special Ed Percent","District 2025 Student Membership: Bilingual/ESL Percent","District 2025 Student Membership: Gifted & Talented Percent","District 2025 Student Membership: Section 504 Percent","District 2025 Student Membership: Dyslexia Percent","District 2025 Student Membership: Title I Percent","District 2025 Student Membership: Homeless Percent","District 2025 Student Membership: Immigrant Percent","District 2025 Student Membership: Migrant Percent","District 2025 Student Membership: Military-Connected Percent","District 2025 Student Membership: Foster Care Percent","District 2025 Student Membership: Career & Technical Education Count","District 2025 Student Membership: Career & Technical (9-12) Education Count","District 2025 Student Membership: Career & Technical Education Percent","District 2025 Student Membership: Career & Technical (9-12) Education Percent","District 2025 Student Enrollment: All Students Count","District 2025 Student Membership: 2024 Mobility All Students Count","District 2025 Student Membership: 2024 Mobility American Indian Count","District 2025 Student Membership: 2024 Mobility Pacific Islander Count","District 2025 Student Membership: 2024 Mobility Asian Count","District 2025 Student Membership: 2024 Mobility African American Count","District 2025 Student Membership: 2024 Mobility Hispanic Count","District 2025 Student Membership: 2024 Mobility White Count","District 2025 Student Membership: 2024 Mobility Two or More Races Count","District 2025 Student Membership: 2024 Mobility Econ Disadv Count","District 2025 Student Membership: 2024 Mobility EB/EL Count","District 2025 Student Membership: 2024 Mobility Special Ed Count","District 2025 Student Membership: 2024 Mobility All Students Percent","District 2025 Student Membership: 2024 Mobility American Indian Percent","District 2025 Student Membership: 2024 Mobility Asian Percent","District 2025 Student Membership: 2024 Mobility Pacific Islander Percent","District 2025 Student Membership: 2024 Mobility Two or More Races Percent","District 2025 Student Membership: 2024 Mobility African American Percent","District 2025 Student Membership: 2024 Mobility Hispanic Percent","District 2025 Student Membership: 2024 Mobility White Percent","District 2025 Student Membership: 2024 Mobility Econ Disadv Percent","District 2025 Student Membership: 2024 Mobility EB/EL Percent","District 2025 Student Membership: 2024 Mobility Special Ed Percent"
DISTRICT,DISTNAME,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPETALLC,DPETSPEC,DPETBILC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DPETDSLC,DPET504C,DPETTT1C,DPETHOMC,DPETIMMC,DPETMIGC,DPETMLCC,DPETFOSC,DPETDISC,DPETDISP,DPETATTC,DPETATTP,DPETSIMC,DPETSINC,DPETSPHC,DPETSBHC,DPETSAUC,DPETSNOC,DPETSINP,DPETSPHP,DPETSBHP,DPETSAUP,DPETSNOP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETBILP,DPETGIFP,DPET504P,DPETDSLP,DPETTT1P,DPETHOMP,DPETIMMP,DPETMIGP,DPETMLCP,DPETFOSP,DPETVOCC,DPETVHSC,DPETVOCP,DPETVHSP,DPNTALLC,DPEMALLC,DPEMINDC,DPEMPCIC,DPEMASIC,DPEMBLAC,DPEMHISC,DPEMWHIC,DPEMTWOC,DPEMECOC,DPEMLEPC,DPEMSPEC,DPEMALLP,DPEMINDP,DPEMASIP,DPEMPCIP,DPEMTWOP,DPEMBLAP,DPEMHISP,DPEMWHIP,DPEMECOP,DPEMLEPP,DPEMSPEP
"001902","CAYUGA ISD",9,12.8,9.5,15.3,14.5,14.3,14.2,14.4,15.9,19,13.4,9.5,575,79,5,21,5,264,311,228,0,4,0,23,36,59,453,44,72,575,1,0,0,27,0,14,2.2,50,10.8,79,57,9,9,-1,-1,72.2,11.4,11.4,-1,-1,78.8,6.3,10.3,0,0.7,0,4,45.9,54.1,39.7,0.9,13.7,0.9,3.7,12.5,7.7,100,0.2,0,0,4.7,0,190,170,33,89.9,577,63,0,0,1,4,9,48,1,43,2,11,11.1,0,0.2,0,0.2,0.7,1.6,8.5,14.9,22.2,11.2
"001903","ELKHART ISD",9.5,15.5,11.8,20.8,16.8,18.5,17.9,16.5,16.4,23.8,11.2,10.8,1187,166,39,61,40,614,573,409,3,4,1,50,45,165,919,65,87,1187,13,4,1,58,10,25,1.9,105,12.1,166,83,48,17,-3,-1,50,28.9,10.2,-3,-1,77.4,3.8,13.9,0.3,0.3,0.1,4.2,51.7,48.3,34.5,3.4,14,3.3,5.1,7.3,5.5,100,1.1,0.3,0.1,4.9,0.8,439,248,37,81.3,1187,138,0,0,0,10,32,91,5,74,3,22,12.4,0,0,0,0.4,0.9,2.9,8.1,11.7,9.1,13.6
"001904","FRANKSTON ISD",14.3,14.1,13.6,17.6,16,19.4,17.8,15.6,19.9,20.8,8.6,13.3,811,144,22,57,22,409,402,321,5,7,0,33,66,112,588,58,73,811,3,0,0,55,0,25,2.9,74,11.8,144,86,17,29,-3,-1,59.7,11.8,20.1,-3,-1,72.5,8.1,13.8,0.6,0.9,0,4.1,50.4,49.6,39.6,2.7,17.8,2.7,7,9,7.2,100,0.4,0,0,6.8,0,270,217,33.3,83.8,811,97,0,0,2,13,9,66,7,59,2,16,12.5,0,0.3,0,0.9,1.7,1.2,8.5,14.5,6.5,10.8
"001906","NECHES ISD",15.5,14.9,13.5,15.5,14.4,13,21.5,12,10.5,22,,15.3,337,56,7,32,8,165,172,123,1,2,0,10,24,52,248,15,26,337,2,0,3,34,0,2,0.6,28,10,56,37,7,7,-1,-1,66.1,12.5,12.5,-1,-1,73.6,7.1,15.4,0.3,0.6,0,3,49,51,36.5,2.4,16.6,2.1,9.5,7.7,4.5,100,0.6,0,0.9,10.1,0,134,85,39.8,93.4,337,33,0,0,0,4,4,24,1,22,1,7,10.9,0,0,0,0.3,1.3,1.3,7.9,13.6,16.7,13.2
"001907","PALESTINE ISD",17.6,18.7,17.7,16.2,16.4,18.3,20,19.1,18.3,16.9,17,18.1,3182,522,550,86,604,2568,614,1631,6,38,0,162,751,1389,836,158,253,3182,61,87,1,115,10,103,3,224,11.3,522,233,92,-3,105,-1,44.6,17.6,-3,20.1,-1,26.3,23.6,43.7,0.2,1.2,0,5.1,80.7,19.3,51.3,19,16.4,17.3,2.7,8,5,100,1.9,2.7,0,3.6,0.3,1134,896,35.6,89.4,3186,343,1,1,6,91,91,122,31,273,43,77,11.4,0,0.2,0,1,3,3,4.1,11.3,7.8,14.4
"001908","WESTWOOD ISD",17.2,16.2,15.9,20.1,24.8,17.5,21,17.2,19.4,17.8,17.8,14.7,1387,267,84,80,88,1112,275,621,10,5,0,76,294,346,656,84,95,990,19,14,1,1,8,37,2.5,155,15.7,267,153,34,44,-3,-1,57.3,12.7,16.5,-3,-1,47.3,21.2,24.9,0.7,0.4,0,5.5,80.2,19.8,44.8,6.3,19.3,6.1,5.8,6.8,6.1,71.4,1.4,1,0.1,0.1,0.6,552,377,39.8,93.1,1387,185,0,0,0,38,45,83,19,110,23,28,14.2,0,0,0,1.5,2.9,3.5,6.4,11.1,21.9,10.9
"001909","SLOCUM ISD",22,11.1,10.1,24,15.5,10.9,12.3,8.8,15.5,14.1,10.4,12.7,323,66,7,12,7,151,172,111,0,2,0,7,1,34,279,13,20,323,0,0,0,5,0,3,0.9,43,14.7,66,49,-1,11,-1,0,74.2,-1,16.7,-1,0,86.4,0.3,10.5,0,0.6,0,2.2,46.7,53.3,34.4,2.2,20.4,2.2,3.7,6.2,4,100,0,0,0,1.5,0,126,78,39,90.7,323,27,0,0,0,0,5,20,2,14,0,7,9.1,0,0,0,0.7,0,1.7,6.7,12.3,0,10.4
"002901","ANDREWS ISD",18,17.2,19.4,16.1,18.7,21.6,20.5,20.7,20.3,20.5,20.2,15.9,4201,620,813,289,797,2199,2002,2119,16,17,0,59,16,2994,1099,289,377,4163,53,16,1,128,2,178,3.9,302,11.1,619,393,75,81,61,9,63.5,12.1,13.1,9.9,1.5,26.2,0.4,71.3,0.4,0.4,0,1.4,52.3,47.7,50.4,19,14.8,19.4,6.9,9,6.9,99.1,1.3,0.4,0,3,0,1090,1087,25.9,88.3,4209,471,0,1,0,3,323,140,4,286,91,71,11.5,0,0,0,0.1,0.1,7.9,3.4,14,12.7,11
"003801","PINEYWOODS COMMUNITY ACADEMY",18.3,18.9,16.6,20.3,17.2,26.3,22,25.4,21.3,20.8,16.9,16.2,1061,165,70,101,71,586,475,466,3,19,5,43,156,352,483,60,105,1061,3,0,0,4,4,12,1.1,90,11.2,165,107,22,17,19,0,64.8,13.3,10.3,11.5,0,45.5,14.7,33.2,0.3,1.8,0.5,4.1,55.2,44.8,43.9,6.7,15.6,6.6,9.5,9.9,5.7,100,0.3,0,0,0.4,0.4,269,268,25.4,92.7,1061,78,0,0,2,14,13,46,3,37,2,13,8.7,0,0.2,0,0.3,1.6,1.4,5.1,6.9,3.6,8.1
